HHID,plotID,A,animal_value_p_sell,area_planted,chem_fert,cons_value_p_sell,cropID,farm_capital,food_prod_value_p_sell,gift_value_p_sell,hhlabor,hired_labor,k,l,lnA,lnk,lnl,lnm,lny,lny_over_A,m,org_fert,pesticides,season,seed_cost,seeds_value_p_sell,sell_value_p_sell,stored_value_p_sell,total2_value_p_sell,total_value_p_sell,trans_cost,y,y_over_A,inflation,ctotal,region
1021000710.0,1.0,0.25,0.0,0.25,,48.65815565010287,Banana Food,62000.0,0.0,9.731631130020574,0.0,6.0,24.134445202451023,6.0,-1.1056369028847763,3.230785584449233,1.791759469228055,2.10102813426538,4.0671409906382125,13.304684934198283,8.174570149217281,8.174570149217281,,1,,0.0,0.0,0.0,58.38978678012344,150000.0,0.0,58.38978678012344,600000.0,0.9930621005759356,15488.241282148423,1.0
1021002013.0,1.0,0.20000000298023224,0.0,0.20000000298023224,,0.0,Sugarcane,33000.0,0.0,0.0,5.0,10.0,12.907173147799783,15.0,-1.2694005981941179,2.644204916906334,2.70805020110221,,5.758309900993661,15.21422742418156,0.0,,,1,,0.0,316.81243180963105,0.0,316.81243180963105,810000.0,0.0,316.81243180963105,4049999.939650298,0.9883365166466088,3391.0663997401243,1.0
1021002013.0,2.0,0.20000000298023224,0.0,0.20000000298023224,,0.0,Cassava,33000.0,0.0,0.0,5.0,10.0,12.907173147799783,15.0,-1.2694005981941179,2.644204916906334,2.70805020110221,,,,0.0,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883365166466088,3391.0663997401243,1.0
1021002013.0,3.0,0.20000000298023224,0.0,0.20000000298023224,,0.0,Maize,33000.0,0.0,0.0,5.0,15.0,12.907173147799783,20.0,-1.2694005981941179,2.644204916906334,2.995732273553991,2.750155107441113,3.666445839315268,13.122363362503167,15.645058360969436,,,1,15.645058360969436,0.0,39.11264590242359,0.0,39.11264590242359,100000.0,0.0,39.11264590242359,499999.9925494195,0.9883365166466088,3391.0663997401243,1.0
1021002013.0,4.0,0.20000000298023224,0.0,0.20000000298023224,,78.22529180484717,Banana Food,33000.0,0.0,0.0,5.0,20.0,12.907173147799783,25.0,-1.2694005981941179,2.644204916906334,3.2188758248682006,,5.052740200435158,14.508657723623058,0.0,,,1,,0.0,78.22529180484717,0.0,156.45058360969435,400000.0,0.0,156.45058360969435,1999999.970197678,0.9883365166466088,3391.0663997401243,1.0
1021002210.0,1.0,0.5,0.0,0.5,,69.69927000909988,Sweet Potatoes,37000.0,0.0,0.0,12.0,28.0,14.736417087638257,40.0,-0.5430045217198668,2.7664131905973934,3.6888794541139363,,4.244189844384515,12.765688433465597,0.0,,,1,,0.0,0.0,0.0,69.69927000909988,175000.0,0.0,69.69927000909988,350000.0,0.9705811603941707,1757.7757614752074,1.0
1021002210.0,2.0,0.25,0.0,0.25,,0.0,Cassava,37000.0,0.0,0.0,18.0,0.0,14.736417087638257,18.0,-1.1056369028847763,2.7664131905973934,2.8903717578961645,,,,0.0,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9705811603941707,1757.7757614752074,1.0
1021002610.0,1.0,0.25,0.0,0.25,,14.204249416235106,Banana Food,39500.0,0.0,0.0,12.0,0.0,16.030510055465335,12.0,-1.1056369028847763,2.844652893486676,2.4849066497880004,,2.6535411745039132,11.84939770159144,0.0,,,1,,0.0,0.0,0.0,14.204249416235106,35000.0,0.0,14.204249416235106,140000.0,0.9525149324220944,2150.6045287575166,1.0
1021002610.0,2.0,0.25,0.0,0.25,,21.306374124352658,Sweet Potatoes,39500.0,0.0,7.102124708117553,16.0,6.0,16.030510055465335,22.0,-1.1056369028847763,2.844652893486676,3.091042453358316,,3.346688355063858,12.542544882151386,0.0,,,1,,0.0,0.0,0.0,28.40849883247021,70000.0,0.0,28.40849883247021,280000.0,0.9525149324220944,2150.6045287575166,1.0
1033000301.0,2.0,1.0,0.0,1.0,,15.570609808032918,Maize,6500.0,0.0,0.0,35.0,28.0,2.530224093805349,63.0,0.07788653887762495,1.3070625457179104,4.143134726391533,,3.843997439324003,11.695247021764184,0.0,,,1,,3.8926524520082295,19.463262260041148,7.785304904016459,46.71182942409875,120000.0,0.0,46.71182942409875,120000.0,0.9930621005759356,1085.8943280122155,1.0
1033000301.0,3.0,0.25,0.0,0.25,,7.785304904016459,Beans,6500.0,0.0,0.0,40.0,28.0,2.530224093805349,68.0,-1.1056369028847763,1.3070625457179104,4.219507705176107,1.3182687950157477,2.7453851506558933,11.982929094215963,3.7369463539279004,,,1,3.7369463539279004,0.0,7.785304904016459,0.0,15.570609808032918,40000.0,0.0,15.570609808032918,160000.0,0.9930621005759356,1085.8943280122155,1.0
1033000301.0,5.0,0.25,0.0,0.25,,12.975508173360764,Cassava,6500.0,0.0,0.0,15.0,0.0,2.530224093805349,15.0,-1.1056369028847763,1.3070625457179104,2.70805020110221,,2.563063593861939,11.800607537422009,0.0,,,1,,0.0,0.0,0.0,12.975508173360764,33333.33333333333,0.0,12.975508173360764,133333.3333333333,0.9930621005759356,1085.8943280122155,1.0
1033000301.0,6.0,0.25,0.0,0.25,,0.0,Yam,6500.0,0.0,0.0,15.0,0.0,2.530224093805349,15.0,-1.1056369028847763,1.3070625457179104,2.70805020110221,,,,0.0,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9930621005759356,1085.8943280122155,1.0
