,hh,HHID_old,region,urban,year,month,sregion,inflation
0,H00101-04-01,1013000201.0,1,0,2013,12,2,1.0700411330335953
1,H00102-04-01,1013000202.0,1,0,2014,10,2,1.0948123174730158
2,H00104-04-01,1013000204.0,1,1,2014,6,2,1.0753197970037849
3,H00110-04-01,1013000210.0,1,0,2013,12,2,1.0700411330335953
4,H00208-04-01,1021000108.0,1,1,2014,3,1,1.085526134477244
5,H00209-04-01,1021000109.0,1,1,2014,3,1,1.085526134477244
6,H00211-04-01,1021000111.0,1,1,2014,3,1,1.085526134477244
7,H00213-04-01,1021000113.0,1,1,2014,3,1,1.085526134477244
8,H00301-04-01,1021000201.0,1,1,2014,3,1,1.085526134477244
9,H00302-04-01,1021000202.0,1,1,2014,4,1,1.0965546293128212
10,H00303-04-01,1021000203.0,1,1,2013,10,1,1.0757810432021624
11,H00304-04-01,1021000204.0,1,1,2014,4,1,1.0965546293128212
12,H00307-04-01,1021000207.0,1,1,2013,10,1,1.0757810432021624
13,H00312-04-01,1021000212.0,1,1,2014,4,1,1.0965546293128212
14,H00313-04-01,1021000213.0,1,1,2014,4,1,1.0965546293128212
15,H00606-04-01,1021000506.0,1,1,2014,7,1,1.0747256362995772
16,H00704-04-01,1021000604.0,1,1,2014,2,1,1.0731904059908903
17,H00707-04-01,1021000607.0,1,1,2014,8,1,1.0868319920274512
18,H00710-04-01,1021000610.0,1,1,2014,2,1,1.0731904059908903
19,H00712-04-01,1021000612.0,1,1,2014,2,1,1.0731904059908903
20,H00801-04-01,1021000701.0,1,1,2013,10,1,1.0757810432021624
21,H00802-04-01,1021000702.0,1,1,2013,10,1,1.0757810432021624
22,H00803-04-01,1021000703.0,1,1,2014,3,1,1.085526134477244
23,H00805-04-01,1021000705.0,1,1,2013,10,1,1.0757810432021624
24,H00809-04-01,1021000709.0,1,1,2013,10,1,1.0757810432021624
25,H00810-04-02,,1,1,2014,3,1,1.085526134477244
26,H00810-04-03,,1,1,2014,3,1,1.085526134477244
27,H00811-04-01,1021000711.0,1,1,2013,10,1,1.0757810432021624
28,H01209-04-01,1021001109.0,1,1,2014,1,1,1.0693649877067413
29,H01209-04-02,102100110901.0,1,1,2014,7,1,1.0747256362995772
30,H01209-04-03,102100110903.0,1,1,2014,7,1,1.0747256362995772
31,H01210-04-01,1021001110.0,1,1,2014,1,1,1.0693649877067413
32,H01401-04-01,1021001301.0,1,1,2014,3,1,1.085526134477244
33,H01402-04-01,1021001302.0,1,1,2014,3,1,1.085526134477244
34,H01406-04-01,1021001306.0,1,1,2014,3,1,1.085526134477244
35,H01409-04-01,1021001309.0,1,1,2014,3,1,1.085526134477244
36,H01601-04-01,1021001501.0,1,1,2013,11,1,1.0687510235353679
37,H01604-04-01,1021001504.0,1,1,2013,11,1,1.0687510235353679
38,H01605-04-01,1021001505.0,1,1,2014,6,1,1.0753197970037849
39,H01607-04-01,1021001507.0,1,1,2014,6,1,1.0753197970037849
40,H01612-04-01,1021001512.0,1,1,2014,6,1,1.0753197970037849
41,H01801-04-01,1021001701.0,1,1,2014,1,1,1.0693649877067413
42,H01806-04-01,1021001706.0,1,1,2014,1,1,1.0693649877067413
43,H01806-04-02,2102100170601.0,1,0,2014,9,2,1.0904529147205702
44,H01809-04-01,1021001709.0,1,1,2014,1,1,1.0693649877067413
45,H01813-04-01,1021001713.0,1,1,2014,7,1,1.0747256362995772
46,H02108-04-01,1021002008.0,1,1,2013,10,1,1.0757810432021624
47,H02110-04-01,1021002010.0,1,1,2013,10,1,1.0757810432021624
48,H02111-04-01,1021002011.0,1,1,2014,4,1,1.0965546293128212
49,H02113-04-01,1021002013.0,1,1,2013,10,1,1.0757810432021624
50,H02203-04-01,1021002103.0,1,1,2013,11,1,1.0687510235353679
51,H02205-04-01,1021002105.0,1,1,2014,6,1,1.0753197970037849
52,H02206-04-01,1021002106.0,1,1,2013,12,1,1.0700411330335953
53,H02207-04-01,1021002107.0,1,1,2013,12,1,1.0700411330335953
54,H02304-04-01,1021002204.0,1,0,2013,12,2,1.0700411330335953
55,H02305-04-01,1021002205.0,1,1,2013,12,1,1.0700411330335953
56,H02310-04-01,1021002210.0,1,1,2014,6,1,1.0753197970037849
57,H02401-04-01,1021002301.0,1,0,2014,1,2,1.0693649877067413
58,H02407-04-01,1021002307.0,1,1,2014,1,1,1.0693649877067413
59,H02409-04-01,1021002309.0,1,1,2014,1,1,1.0693649877067413
60,H02412-04-01,1021002312.0,1,1,2014,1,1,1.0693649877067413
61,H02507-04-01,1021002407.0,1,1,2014,2,1,1.0731904059908903
62,H02601-04-01,1021002501.0,1,1,2014,3,1,1.085526134477244
63,H02601-04-02,2102100250103.0,1,1,2014,4,1,1.0965546293128212
64,H02602-04-01,1021002502.0,1,1,2014,3,1,1.085526134477244
65,H02608-04-01,1021002508.0,1,1,2014,3,1,1.085526134477244
66,H02608-04-02,,1,1,2014,10,1,1.0948123174730158
67,H02609-04-01,1021002509.0,1,1,2014,3,1,1.085526134477244
68,H02703-04-02,102100260304.0,1,1,2013,10,1,1.0757810432021624
69,H02705-04-01,1021002605.0,1,1,2013,10,1,1.0757810432021624
70,H02705-04-02,,1,1,2014,7,2,1.0747256362995772
71,H02706-04-01,1021002606.0,1,1,2013,10,1,1.0757810432021624
72,H02710-04-01,1021002610.0,1,1,2013,10,1,1.0757810432021624
73,H02711-04-01,1021002611.0,1,1,2013,10,1,1.0757810432021624
74,H02711-04-02,,1,1,2013,10,1,1.0757810432021624
75,H02711-04-03,,1,1,2013,10,2,1.0757810432021624
76,H02802-04-01,1021002702.0,1,1,2013,12,1,1.0700411330335953
77,H02803-04-01,1021002703.0,1,1,2013,12,1,1.0700411330335953
78,H02811-04-01,1021002711.0,1,1,2013,12,1,1.0700411330335953
79,H03001-04-01,1021002901.0,1,0,2014,1,2,1.0693649877067413
80,H03003-04-01,1021002903.0,1,1,2014,1,1,1.0693649877067413
81,H03005-04-01,1021002905.0,1,1,2014,1,1,1.0693649877067413
82,H03006-04-01,1021002906.0,1,1,2014,1,1,1.0693649877067413
83,H03010-04-01,1021002910.0,1,1,2014,1,1,1.0693649877067413
84,H03401-04-01,1021003301.0,1,1,2013,11,1,1.0687510235353679
85,H03408-04-01,1021003308.0,1,0,2014,10,2,1.0948123174730158
86,H03409-04-01,1021003309.0,1,1,2014,6,1,1.0753197970037849
87,H03409-04-02,2102100330903.0,1,1,2014,10,2,1.0948123174730158
88,H03410-04-01,1021003310.0,1,1,2014,6,1,1.0753197970037849
89,H03410-04-02,,1,1,2014,6,1,1.0753197970037849
90,H03503-04-01,1021003403.0,1,1,2013,12,1,1.0700411330335953
91,H03511-04-01,1021003411.0,1,1,2013,12,1,1.0700411330335953
92,H03512-04-01,1021003412.0,1,1,2013,12,1,1.0700411330335953
93,H03515-04-01,1021003415.0,1,1,2013,12,1,1.0700411330335953
94,H03601-04-01,1033000301.0,1,0,2013,9,3,1.0759212825732265
95,H03602-04-04,,1,0,2013,9,3,1.0759212825732265
96,H03603-04-05,,1,0,2014,3,3,1.085526134477244
97,H03604-04-04,2103300030402.0,1,0,2014,3,3,1.085526134477244
98,H03604-04-08,,1,0,2014,3,3,1.085526134477244
99,H03604-04-09,,1,0,2014,3,3,1.085526134477244
100,H03605-04-02,,1,0,2014,3,3,1.085526134477244
101,H03607-04-01,1033000307.0,1,0,2014,3,3,1.085526134477244
102,H03608-04-01,1033000308.0,1,0,2013,9,3,1.0759212825732265
103,H03704-04-01,1033000504.0,1,0,2014,1,3,1.0693649877067413
104,H03705-04-01,1033000505.0,1,0,2014,1,3,1.0693649877067413
105,H03706-04-01,1033000506.0,1,0,2014,1,3,1.0693649877067413
106,H03707-04-01,1033000507.0,1,0,2014,7,3,1.0747256362995772
107,H03707-04-02,,1,1,2014,7,2,1.0747256362995772
108,H03709-04-01,1033000509.0,1,0,2014,1,3,1.0693649877067413
109,H03711-04-02,103300051102.0,1,0,2014,7,3,1.0747256362995772
110,H03711-04-03,2103300051102.0,1,0,2014,7,3,1.0747256362995772
111,H03711-04-04,3103300051105.0,1,0,2014,7,3,1.0747256362995772
112,H03804-04-01,1041000204.0,1,1,2013,11,3,1.0687510235353679
113,H03807-04-01,1041000207.0,1,1,2013,11,3,1.0687510235353679
114,H03809-04-01,1041000209.0,1,1,2014,6,3,1.0753197970037849
115,H03810-04-01,1041000210.0,1,1,2014,6,3,1.0753197970037849
116,H03811-04-01,1041000211.0,1,1,2014,6,3,1.0753197970037849
117,H03813-04-01,1041000213.0,1,1,2013,11,3,1.0687510235353679
118,H03901-04-01,1043000401.0,1,0,2013,10,3,1.0757810432021624
119,H03902-04-01,1043000402.0,1,0,2013,10,3,1.0757810432021624
120,H03903-04-01,1043000403.0,1,0,2013,10,3,1.0757810432021624
121,H03906-04-01,1043000406.0,1,0,2013,10,3,1.0757810432021624
122,H03907-04-01,1043000407.0,1,0,2013,10,3,1.0757810432021624
123,H03908-04-01,1043000408.0,1,0,2014,4,3,1.0965546293128212
124,H03909-04-01,1043000409.0,1,0,2014,4,3,1.0965546293128212
125,H03909-04-02,104300040906.0,1,0,2014,4,3,1.0965546293128212
126,H03910-04-01,1043000410.0,1,0,2014,4,3,1.0965546293128212
127,H04001-04-01,1043000601.0,1,0,2014,8,3,1.0868319920274512
128,H04002-04-01,1043000602.0,1,0,2014,8,3,1.0868319920274512
129,H04003-04-01,1043000603.0,1,0,2014,8,3,1.0868319920274512
130,H04003-04-03,104300060305.0,1,1,2014,8,1,1.0868319920274512
131,H04004-04-01,1043000604.0,1,1,2014,2,3,1.0731904059908903
132,H04005-04-01,1043000605.0,1,0,2014,8,3,1.0868319920274512
133,H04006-04-01,1043000606.0,1,0,2014,2,3,1.0731904059908903
134,H04007-04-01,1043000607.0,1,0,2014,2,3,1.0731904059908903
135,H04009-04-01,1043000609.0,1,0,2014,2,3,1.0731904059908903
136,H04010-04-01,1043000610.0,1,0,2014,2,3,1.0731904059908903
137,H04010-04-02,,1,0,2014,8,3,1.0868319920274512
138,H04011-04-01,1043000611.0,1,1,2014,8,2,1.0868319920274512
139,H04011-04-02,104300061103.0,1,1,2014,8,2,1.0868319920274512
140,H04201-04-01,1163001101.0,1,0,2014,3,3,1.085526134477244
141,H04202-04-01,1163001102.0,1,1,2014,3,3,1.085526134477244
142,H04203-04-01,1163001103.0,1,0,2014,3,3,1.085526134477244
143,H04204-04-01,1163001104.0,1,0,2013,10,3,1.0757810432021624
144,H04205-04-01,1163001105.0,1,0,2013,9,3,1.0759212825732265
145,H04206-04-01,1163001106.0,1,0,2013,10,3,1.0757810432021624
146,H04207-04-01,1163001107.0,1,0,2013,9,3,1.0759212825732265
147,H04208-04-01,1163001108.0,1,1,2014,3,3,1.085526134477244
148,H04208-04-02,2116300110803.0,1,0,2014,3,3,1.085526134477244
149,H04209-04-01,1163001109.0,1,0,2014,3,3,1.085526134477244
150,H04210-04-01,1163001110.0,1,0,2013,10,3,1.0757810432021624
151,H04501-04-01,1051000301.0,1,1,2013,12,2,1.0700411330335953
152,H04505-04-01,1051000305.0,1,1,2014,6,2,1.0753197970037849
153,H04508-04-02,,1,1,2014,6,2,1.0753197970037849
154,H04508-04-03,,1,1,2014,6,2,1.0753197970037849
155,H04508-04-04,,1,1,2014,10,1,1.0948123174730158
156,H04509-04-01,1051000309.0,1,0,2014,6,2,1.0753197970037849
157,H04602-04-01,1053000402.0,1,0,2014,4,2,1.0965546293128212
158,H04603-04-01,1053000403.0,1,0,2014,4,2,1.0965546293128212
159,H04604-04-01,1053000404.0,1,0,2013,10,2,1.0757810432021624
160,H04606-04-01,1053000406.0,1,0,2014,4,2,1.0965546293128212
161,H04606-04-02,105300040602.0,1,0,2014,4,2,1.0965546293128212
162,H04607-04-01,1053000407.0,1,0,2013,10,2,1.0757810432021624
163,H04608-04-01,1053000408.0,1,0,2013,10,2,1.0757810432021624
164,H04609-04-01,1053000409.0,1,0,2013,10,2,1.0757810432021624
165,H04610-04-01,1053000410.0,1,0,2013,10,2,1.0757810432021624
166,H04610-04-02,,1,0,2013,10,2,1.0757810432021624
167,H04610-04-03,,1,0,2013,10,2,1.0757810432021624
168,H04801-04-01,1053001201.0,1,1,2013,11,2,1.0687510235353679
169,H04802-04-01,1053001202.0,1,0,2014,5,2,1.0851567104844397
170,H04802-04-02,2105300120203.0,1,0,2014,5,2,1.0851567104844397
171,H04802-04-03,3105300120203.0,1,1,2014,10,2,1.0948123174730158
172,H04803-04-02,,1,0,2014,5,2,1.0851567104844397
173,H04804-04-01,1053001204.0,1,0,2014,5,2,1.0851567104844397
174,H04805-04-01,1053001205.0,1,0,2013,11,2,1.0687510235353679
175,H04806-04-01,1053001206.0,1,0,2013,11,2,1.0687510235353679
176,H04807-04-01,1053001207.0,1,0,2013,11,2,1.0687510235353679
177,H04808-04-01,1053001208.0,1,1,2013,11,2,1.0687510235353679
178,H04808-04-02,,1,1,2014,10,2,1.0948123174730158
179,H04810-04-01,1053001210.0,1,0,2014,5,2,1.0851567104844397
180,H04903-04-01,1053001503.0,1,0,2014,2,2,1.0731904059908903
181,H04905-04-01,1053001505.0,1,0,2014,2,2,1.0731904059908903
182,H04907-04-01,1053001507.0,1,0,2014,2,2,1.0731904059908903
183,H04908-04-01,1053001508.0,1,0,2014,2,2,1.0731904059908903
184,H04909-04-01,1053001509.0,1,0,2014,8,2,1.0868319920274512
185,H04910-04-01,1053001510.0,1,0,2014,8,2,1.0868319920274512
186,H04912-04-01,1053001512.0,1,0,2014,8,2,1.0868319920274512
187,H04913-04-01,1053001513.0,1,0,2014,8,2,1.0868319920274512
188,H04913-04-02,105300151301.0,1,0,2014,8,2,1.0868319920274512
189,H04913-04-03,105300151303.0,1,0,2014,8,2,1.0868319920274512
190,H04913-04-04,210530015130103.0,1,0,2014,8,2,1.0868319920274512
191,H04913-04-05,2105300151304.0,1,0,2014,8,2,1.0868319920274512
192,H04913-04-06,2105300151305.0,1,0,2014,8,2,1.0868319920274512
193,H05002-04-01,1053001902.0,1,0,2014,6,2,1.0753197970037849
194,H05003-04-01,1053001903.0,1,0,2013,12,2,1.0700411330335953
195,H05003-04-02,,1,1,2014,10,2,1.0948123174730158
196,H05004-04-01,1053001904.0,1,0,2013,12,2,1.0700411330335953
197,H05005-04-01,1053001905.0,1,0,2014,6,2,1.0753197970037849
198,H05006-04-01,1053001906.0,1,0,2014,6,2,1.0753197970037849
199,H05007-04-01,1053001907.0,1,0,2013,12,2,1.0700411330335953
200,H05008-04-01,1053001908.0,1,0,2013,12,2,1.0700411330335953
201,H05009-04-01,1053001909.0,1,0,2013,12,2,1.0700411330335953
202,H05010-04-01,1053001910.0,1,0,2014,6,2,1.0753197970037849
203,H05101-04-01,1053002301.0,1,0,2014,3,2,1.085526134477244
204,H05102-04-01,1053002302.0,1,0,2014,3,2,1.085526134477244
205,H05103-04-01,1053002303.0,1,0,2014,3,2,1.085526134477244
206,H05104-04-01,1053002304.0,1,0,2014,3,2,1.085526134477244
207,H05105-04-01,1053002305.0,1,0,2014,3,2,1.085526134477244
208,H05106-04-01,1053002306.0,1,0,2013,9,2,1.0759212825732265
209,H05107-04-01,1053002307.0,1,0,2013,9,2,1.0759212825732265
210,H05108-04-01,1053002308.0,1,0,2013,9,2,1.0759212825732265
211,H05109-04-01,1053002309.0,1,0,2013,9,2,1.0759212825732265
212,H05110-04-01,1053002310.0,1,0,2014,8,2,1.0868319920274512
213,H05301-04-01,1053003001.0,1,1,2014,4,2,1.0965546293128212
214,H05302-04-01,1053003002.0,1,0,2013,10,2,1.0757810432021624
215,H05303-04-01,1053003003.0,1,0,2013,10,2,1.0757810432021624
216,H05304-04-01,1053003004.0,1,0,2014,4,2,1.0965546293128212
217,H05305-04-01,1053003005.0,1,0,2014,4,2,1.0965546293128212
218,H05305-04-02,105300300504.0,1,1,2014,4,2,1.0965546293128212
219,H05305-04-03,105300300505.0,1,0,2014,4,2,1.0965546293128212
220,H05305-04-05,3105300300503.0,1,1,2014,4,2,1.0965546293128212
221,H05306-04-01,1053003006.0,1,0,2013,10,2,1.0757810432021624
222,H05306-04-02,,1,0,2013,10,2,1.0757810432021624
223,H05308-04-01,1053003008.0,1,0,2013,10,2,1.0757810432021624
224,H05309-04-01,1053003009.0,1,0,2014,4,2,1.0965546293128212
225,H05310-04-01,1053003010.0,1,0,2013,10,2,1.0757810432021624
226,H05310-04-02,,1,0,2013,10,2,1.0757810432021624
227,H05403-04-01,1053003303.0,1,0,2014,2,2,1.0731904059908903
228,H05404-04-01,1053003304.0,1,0,2014,2,2,1.0731904059908903
229,H05405-04-01,1053003305.0,1,0,2014,2,2,1.0731904059908903
230,H05406-04-01,1053003306.0,1,0,2014,2,2,1.0731904059908903
231,H05407-04-01,1053003307.0,1,0,2014,8,2,1.0868319920274512
232,H05407-04-02,105300330702.0,1,0,2014,8,2,1.0868319920274512
233,H05409-04-01,1053003309.0,1,0,2014,8,2,1.0868319920274512
234,H05410-04-01,1053003310.0,1,0,2014,8,2,1.0868319920274512
235,H05412-04-01,1053003312.0,1,0,2014,8,2,1.0868319920274512
236,H05412-04-02,105300331202.0,1,0,2014,8,2,1.0868319920274512
237,H05412-04-03,210530033120204.0,4,1,2014,7,9,1.0747256362995772
238,H05701-04-01,1063000701.0,1,0,2013,12,2,1.0700411330335953
239,H05702-04-01,1063000702.0,1,0,2013,12,2,1.0700411330335953
240,H05703-04-01,1063000703.0,1,0,2013,12,2,1.0700411330335953
241,H05704-04-01,1063000704.0,1,0,2013,12,2,1.0700411330335953
242,H05705-04-01,1063000705.0,1,0,2013,12,2,1.0700411330335953
243,H05706-04-01,1063000706.0,1,0,2014,6,2,1.0753197970037849
244,H05707-04-01,1063000707.0,1,0,2014,6,2,1.0753197970037849
245,H05709-04-01,1063000709.0,1,0,2014,6,2,1.0753197970037849
246,H05710-04-01,1063000710.0,1,0,2014,6,2,1.0753197970037849
247,H05711-04-01,1063000711.0,1,0,2014,6,2,1.0753197970037849
248,H05711-04-02,,1,0,2014,9,2,1.0904529147205702
249,H05901-04-01,1071000101.0,1,1,2014,3,3,1.085526134477244
250,H05903-04-01,1071000103.0,1,0,2014,3,3,1.085526134477244
251,H05904-04-01,1071000104.0,1,1,2014,3,3,1.085526134477244
252,H05906-04-01,1071000106.0,1,1,2014,3,3,1.085526134477244
253,H05906-04-02,107100010608.0,4,0,2014,9,9,1.0904529147205702
254,H05910-04-01,1071000110.0,1,1,2013,10,3,1.0757810432021624
255,H06001-04-01,1071000201.0,1,0,2014,1,3,1.0693649877067413
256,H06005-04-01,1071000205.0,1,1,2014,7,3,1.0747256362995772
257,H06006-04-01,1071000206.0,1,1,2014,1,3,1.0693649877067413
258,H06007-04-01,1071000207.0,1,1,2014,1,3,1.0693649877067413
259,H06008-04-01,1071000208.0,1,0,2014,1,3,1.0693649877067413
260,H06009-04-01,1071000209.0,1,1,2014,1,3,1.0693649877067413
261,H06010-04-01,1071000210.0,1,1,2014,7,3,1.0747256362995772
262,H06101-04-01,1153000401.0,1,0,2014,6,3,1.0753197970037849
263,H06102-04-01,1153000402.0,1,0,2014,1,3,1.0693649877067413
264,H06103-04-01,1153000403.0,1,0,2014,1,3,1.0693649877067413
265,H06104-04-01,1153000404.0,1,0,2014,7,3,1.0747256362995772
266,H06104-04-02,115300040402.0,1,1,2014,7,1,1.0747256362995772
267,H06104-04-03,211530004040206.0,1,1,2014,6,2,1.0753197970037849
268,H06105-04-01,1153000405.0,1,0,2014,7,3,1.0747256362995772
269,H06105-04-02,,1,0,2014,7,3,1.0747256362995772
270,H06107-04-01,1153000407.0,1,0,2014,7,3,1.0747256362995772
271,H06108-04-01,1153000408.0,1,0,2014,1,3,1.0693649877067413
272,H06109-04-01,1153000409.0,1,0,2014,1,3,1.0693649877067413
273,H06110-04-01,1153000410.0,1,0,2014,7,3,1.0747256362995772
274,H06201-04-01,1073000801.0,1,0,2013,11,3,1.0687510235353679
275,H06203-04-01,1073000803.0,1,0,2013,11,3,1.0687510235353679
276,H06207-04-01,1073000807.0,1,0,2013,11,3,1.0687510235353679
277,H06208-04-01,1073000808.0,1,0,2014,5,3,1.0851567104844397
278,H06209-04-01,1073000809.0,4,0,2014,5,9,1.0851567104844397
279,H06301-04-01,1073001201.0,1,0,2014,2,3,1.0731904059908903
280,H06302-04-01,1073001202.0,1,0,2014,2,3,1.0731904059908903
281,H06303-04-01,1073001203.0,1,0,2014,8,3,1.0868319920274512
282,H06303-04-02,107300120302.0,1,0,2014,9,3,1.0904529147205702
283,H06303-04-03,3010730012030200.0,1,0,2014,10,3,1.0948123174730158
284,H06305-04-01,1073001205.0,1,1,2014,2,3,1.0731904059908903
285,H06306-04-01,1073001206.0,1,1,2014,2,3,1.0731904059908903
286,H06307-04-01,1073001207.0,1,0,2014,8,3,1.0868319920274512
287,H06309-04-01,1073001209.0,1,1,2014,2,3,1.0731904059908903
288,H06310-04-01,1073001210.0,1,1,2014,8,3,1.0868319920274512
289,H06310-04-02,107300121003.0,1,1,2014,8,3,1.0868319920274512
290,H06310-04-03,107300121004.0,4,1,2014,7,9,1.0747256362995772
291,H06401-04-01,1073001601.0,1,0,2013,12,3,1.0700411330335953
292,H06402-04-01,1073001602.0,1,0,2013,12,3,1.0700411330335953
293,H06403-04-01,1073001603.0,1,0,2013,12,3,1.0700411330335953
294,H06404-04-01,1073001604.0,1,0,2013,12,3,1.0700411330335953
295,H06405-04-01,1073001605.0,1,0,2014,6,3,1.0753197970037849
296,H06406-04-01,1073001606.0,1,0,2013,12,3,1.0700411330335953
297,H06408-04-01,1073001608.0,1,0,2014,6,3,1.0753197970037849
298,H06409-04-01,1073001609.0,1,0,2014,6,3,1.0753197970037849
299,H06410-04-01,1073001610.0,1,0,2014,6,3,1.0753197970037849
300,H06411-04-01,1073001611.0,1,0,2014,6,3,1.0753197970037849
301,H06601-04-01,1073002301.0,1,0,2014,7,3,1.0747256362995772
302,H06602-04-01,1073002302.0,1,0,2014,1,3,1.0693649877067413
303,H06603-04-01,1073002303.0,1,0,2014,1,3,1.0693649877067413
304,H06604-04-01,1073002304.0,1,0,2014,1,3,1.0693649877067413
305,H06605-04-01,1073002305.0,1,0,2014,1,3,1.0693649877067413
306,H06606-04-01,1073002306.0,1,0,2014,7,3,1.0747256362995772
307,H06607-04-01,1073002307.0,1,0,2014,7,3,1.0747256362995772
308,H06608-04-01,1073002308.0,1,0,2014,7,3,1.0747256362995772
309,H06609-04-01,1073002309.0,1,0,2014,7,3,1.0747256362995772
310,H06701-04-01,1153002701.0,1,0,2013,10,3,1.0757810432021624
311,H06702-04-01,1073002702.0,1,0,2014,4,3,1.0965546293128212
312,H06703-04-01,1153002703.0,1,0,2013,10,3,1.0757810432021624
313,H06704-04-01,1153002704.0,1,0,2013,10,3,1.0757810432021624
314,H06706-04-01,1153002706.0,1,0,2014,4,3,1.0965546293128212
315,H06707-04-01,1153002707.0,1,0,2014,4,3,1.0965546293128212
316,H06707-04-02,,1,0,2014,4,3,1.0965546293128212
317,H06708-04-01,1153002708.0,1,0,2013,10,3,1.0757810432021624
318,H06709-04-01,1153002709.0,1,0,2014,4,3,1.0965546293128212
319,H06710-04-01,1153002710.0,1,0,2014,4,3,1.0965546293128212
320,H06801-04-01,1153003101.0,1,1,2014,2,3,1.0731904059908903
321,H06802-04-01,1153003102.0,1,1,2014,7,3,1.0747256362995772
322,H06803-04-01,1153003103.0,1,0,2014,2,3,1.0731904059908903
323,H06805-04-01,1153003105.0,1,1,2014,8,3,1.0868319920274512
324,H06806-04-01,1153003106.0,1,1,2014,2,3,1.0731904059908903
325,H06807-04-01,1153003107.0,1,0,2014,7,3,1.0747256362995772
326,H06810-04-01,1153003110.0,1,0,2014,2,3,1.0731904059908903
327,H06810-04-02,,1,0,2014,2,3,1.0731904059908903
328,H06901-04-01,1081000201.0,1,1,2013,10,3,1.0757810432021624
329,H06902-04-01,1081000202.0,1,1,2014,4,3,1.0965546293128212
330,H06903-04-01,1081000203.0,1,1,2014,4,3,1.0965546293128212
331,H06906-04-01,1081000206.0,1,1,2014,4,3,1.0965546293128212
332,H06908-04-01,1081000208.0,1,1,2013,10,3,1.0757810432021624
333,H06909-04-01,1081000209.0,1,1,2013,10,3,1.0757810432021624
334,H06911-04-01,1081000211.0,1,1,2013,10,3,1.0757810432021624
335,H06911-04-03,,1,0,2014,4,3,1.0965546293128212
336,H06914-04-01,1081000214.0,1,0,2014,4,3,1.0965546293128212
337,H07002-04-02,,1,1,2014,2,3,1.0731904059908903
338,H07003-04-01,1081000303.0,1,1,2014,2,3,1.0731904059908903
339,H07007-04-01,1081000307.0,1,1,2014,2,3,1.0731904059908903
340,H07007-04-02,,1,1,2014,7,1,1.0747256362995772
341,H07008-04-01,1081000308.0,1,1,2014,8,3,1.0868319920274512
342,H07009-04-01,1081000309.0,1,1,2014,2,3,1.0731904059908903
343,H07010-04-01,1081000310.0,1,1,2014,8,3,1.0868319920274512
344,H07201-04-01,1083000901.0,1,0,2014,3,3,1.085526134477244
345,H07202-04-01,1083000902.0,1,0,2014,3,3,1.085526134477244
346,H07202-04-02,108300090202.0,1,0,2013,10,3,1.0757810432021624
347,H07203-04-01,1083000903.0,1,0,2014,3,3,1.085526134477244
348,H07204-04-01,1083000904.0,1,0,2013,10,3,1.0757810432021624
349,H07205-04-01,1083000905.0,1,0,2013,10,3,1.0757810432021624
350,H07206-04-01,1083000906.0,1,0,2014,3,3,1.085526134477244
351,H07207-04-01,1083000907.0,1,0,2014,3,3,1.085526134477244
352,H07208-04-01,1083000908.0,1,0,2013,10,3,1.0757810432021624
353,H07208-04-02,,1,0,2013,10,3,1.0757810432021624
354,H07209-04-01,1083000909.0,1,0,2014,3,3,1.085526134477244
355,H07210-04-01,1083000910.0,1,0,2014,3,3,1.085526134477244
356,H07302-04-01,1083001302.0,1,0,2013,12,3,1.0700411330335953
357,H07303-04-01,1083001303.0,1,0,2013,12,3,1.0700411330335953
358,H07304-04-01,1083001304.0,1,0,2013,12,3,1.0700411330335953
359,H07304-04-02,108300130403.0,1,1,2013,12,3,1.0700411330335953
360,H07305-04-01,1083001305.0,1,0,2013,12,3,1.0700411330335953
361,H07306-04-01,1083001306.0,1,0,2013,12,3,1.0700411330335953
362,H07307-04-01,1083001307.0,1,0,2014,6,3,1.0753197970037849
363,H07309-04-01,1083001309.0,1,0,2014,6,3,1.0753197970037849
364,H07310-04-01,1083001310.0,1,0,2014,7,3,1.0747256362995772
365,H07311-04-01,1083001311.0,1,0,2014,6,3,1.0753197970037849
366,H07403-04-01,1083001603.0,1,0,2014,4,3,1.0965546293128212
367,H07404-04-01,1083001604.0,1,0,2014,4,3,1.0965546293128212
368,H07406-04-01,1083001606.0,1,0,2013,10,3,1.0757810432021624
369,H07408-04-01,1083001608.0,1,0,2014,4,3,1.0965546293128212
370,H07408-04-02,2108300160809.0,1,0,2014,4,3,1.0965546293128212
371,H07408-04-03,,1,0,2014,4,3,1.0965546293128212
372,H07410-04-01,1083001610.0,1,0,2013,10,3,1.0757810432021624
373,H07412-04-01,1083001612.0,1,0,2013,10,3,1.0757810432021624
374,H07413-04-01,1083001613.0,1,0,2013,10,3,1.0757810432021624
375,H07501-04-01,1083002001.0,1,0,2014,1,3,1.0693649877067413
376,H07502-04-01,1083002002.0,1,0,2014,7,3,1.0747256362995772
377,H07502-04-02,108300200202.0,1,0,2014,8,3,1.0868319920274512
378,H07502-04-03,210830020020505.0,1,1,2014,7,1,1.0747256362995772
379,H07502-04-04,3010830020020500.0,1,1,2014,7,3,1.0747256362995772
380,H07502-04-06,,1,0,2014,8,3,1.0868319920274512
381,H07502-04-07,,1,1,2014,8,1,1.0868319920274512
382,H07504-04-01,1083002004.0,1,0,2014,1,3,1.0693649877067413
